Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
samplev2,Chrome 87.0.4280.141,,,2021-01-11 17:25:45,2021-01-11 17:26:56,1m - 11.377s,FAILED
,,,,,,,
Test Cases/login_testcase/login,Chrome 87.0.4280.141,,,2021-01-11 17:25:45,2021-01-11 17:26:08,22.992s,PASSED
openBrowser(url),Chrome 87.0.4280.141,,,2021-01-11 17:25:45,2021-01-11 17:26:03,17.861s,PASSED
"verifyElementPresent(findTestObject(""login_page/login_container""), 5)",Chrome 87.0.4280.141,,,2021-01-11 17:26:03,2021-01-11 17:26:03,0.412s,PASSED
"setText(findTestObject(""login_page/username_field""), username)",Chrome 87.0.4280.141,,,2021-01-11 17:26:03,2021-01-11 17:26:04,0.609s,PASSED
"setText(findTestObject(""login_page/pass_field""), password)",Chrome 87.0.4280.141,,,2021-01-11 17:26:04,2021-01-11 17:26:05,0.589s,PASSED
"click(findTestObject(""login_page/submit_login""))",Chrome 87.0.4280.141,,,2021-01-11 17:26:05,2021-01-11 17:26:07,2.519s,PASSED
"verifyElementNotPresent(findTestObject(""login_page/flash_error""), 5)",Chrome 87.0.4280.141,,,2021-01-11 17:26:07,2021-01-11 17:26:08,0.467s,PASSED
"waitForElementPresent(findTestObject(""home_page/wrapper_home""), 5)",Chrome 87.0.4280.141,,,2021-01-11 17:26:08,2021-01-11 17:26:08,0.282s,PASSED
,,,,,,,
Test Cases/OneID/rezha/feature_samplev2,Chrome 87.0.4280.141,,,2021-01-11 17:26:08,2021-01-11 17:26:26,18.365s,PASSED
"callTestCase(findTestCase(""login_testcase/login""), [:], CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:08,2021-01-11 17:26:08,0.002s,NOT_RUN
"setText(findTestObject(""home_page/search_field""), backlog, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:08,2021-01-11 17:26:09,0.592s,PASSED
"submit(findTestObject(""home_page/search_field""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:09,2021-01-11 17:26:14,5.627s,PASSED
"verifyElementPresent(findTestObject(""issue_page/add_subtask""), 3, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:14,2021-01-11 17:26:15,0.486s,PASSED
"click(findTestObject(""issue_page/add_subtask""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:15,2021-01-11 17:26:17,1.946s,PASSED
"waitForElementPresent(findTestObject(""issue_page/wrapper_issue""), 3, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:17,2021-01-11 17:26:17,0.264s,PASSED
"selectOptionByLabel(findTestObject(""issue_page/tracker/tracker_global""), tracker, false, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:17,2021-01-11 17:26:18,0.569s,PASSED
"click(findTestObject(""issue_page/tracker/feature_tracker""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:18,2021-01-11 17:26:18,0.003s,NOT_RUN
"delay(5, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:18,2021-01-11 17:26:23,5.026s,PASSED
"setText(findTestObject(""issue_page/subject_issue""), subject, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:23,2021-01-11 17:26:23,0.616s,PASSED
"setText(findTestObject(""issue_page/description_issue""), description, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:23,2021-01-11 17:26:24,0.595s,PASSED
